FLOCK,SELL,LIMIT,IOC,925,0.1090000,0.1104948,FILLED,48,925,1765417211196,100.825
DAM,SELL,LIMIT,IOC,1863,0.0215000,0.0226137,FILLED,1398,1863,1765417212539,40.0545
WET,BUY,LIMIT,IOC,1781,0.2577900,0.2577900,FILLED,1781,1781,1765417213109,459.12399000000005
WET,BUY,LIMIT,IOC,434,0.2588100,0.2579817,FILLED,74,434,1765417214626,112.32354
PIPPIN,SELL,LIMIT,IOC,174,0.3173700,0.3224500,FILLED,174,174,1765417219623,55.222379999999994
PIPPIN,SELL,LIMIT,IOC,3544,0.3082400,0.3224374,FILLED,42,3544,1765417220749,1092.40256
PIEVERSE,SELL,LIMIT,IOC,489,0.7961000,0.8114427,FILLED,89,489,1765417231593,389.29290000000003
PIEVERSE,SELL,LIMIT,IOC,59,0.7954000,0.8113423,FILLED,21,59,1765417233230,46.9286
PIPPIN,SELL,LIMIT,IOC,12747,0.3143600,0.3220952,FILLED,407,12747,1765417241293,4007.1469199999997
COAI,SELL,LIMIT,IOC,417,0.4668000,0.4910000,FILLED,373,417,1765417242257,194.6556
COAI,SELL,LIMIT,IOC,559,0.4667000,0.4910000,FILLED,559,559,1765417243415,260.88530000000003
BEAT,SELL,LIMIT,IOC,323,1.6607000,1.6941312,FILLED,6,323,1765417255591,536.4061
LUNA2,BUY,LIMIT,IOC,51,0.1977000,0.1946900,FILLED,51,51,1765417267053,10.082699999999999
LUNA2,BUY,LIMIT,IOC,64,0.1979700,0.1950300,FILLED,13,64,1765417274288,12.67008
BTC,SELL,LIMIT,IOC,0.002,90496.00,90859.60,FILLED,0.002,0.002,1765417286605,180.992
DOOD,SELL,LIMIT,IOC,1218,0.0049140,0.0049840,FILLED,1218,1218,1765417288491,5.985252
RIVER,BUY,LIMIT,IOC,102.5,6.250000,6.161197,FILLED,48.7,102.5,1765417289138,640.625
CROSS,BUY,LIMIT,IOC,409,0.1356400,0.1331551,FILLED,30,409,1765417293268,55.476760000000006
PIPPIN,SELL,LIMIT,IOC,3090,0.3165600,0.3215937,FILLED,25,3090,1765417295195,978.1704
PIPPIN,SELL,LIMIT,IOC,21,0.3129600,0.3225200,FILLED,21,21,1765417300404,6.57216
TRUTH,SELL,LIMIT,IOC,1151,0.0219390,0.0222570,FILLED,1151,1151,1765417304197,25.251789
COAI,SELL,LIMIT,IOC,93,0.4661000,0.4899000,FILLED,93,93,1765417309060,43.347300000000004
币安人生,BUY,LIMIT,IOC,50,0.1173600,0.1157100,FILLED,50,50,1765417311453,5.868
TRUTH,SELL,LIMIT,IOC,21571,0.0210630,0.0220172,FILLED,213,21571,1765417325640,454.349973
COAI,SELL,LIMIT,IOC,51,0.4655000,0.4893000,FILLED,51,51,1765417327168,23.7405
1000LUNC,SELL,LIMIT,IOC,52375,0.0605400,0.0609989,FILLED,845,52375,1765417327585,3170.7825
PIPPIN,SELL,LIMIT,IOC,1256,0.3131800,0.3189500,FILLED,1256,1256,1765417328417,393.35408
TRUTH,SELL,LIMIT,IOC,1423,0.0217080,0.0220042,FILLED,511,1423,1765417329202,30.890484
COAI,SELL,LIMIT,IOC,92,0.4653000,0.4893000,FILLED,16,92,1765417329225,42.8076
LUNA2,SELL,LIMIT,IOC,51,0.1910900,0.1938600,FILLED,51,51,1765417330113,9.74559
COAI,SELL,LIMIT,IOC,210,0.4651000,0.4892000,FILLED,210,210,1765417330317,97.671
COAI,SELL,LIMIT,IOC,11,0.4650000,0.4894000,FILLED,11,11,1765417331381,5.115
